h3_index,centroid_lat,centroid_lng,risk_score,polygon_wkt
883da1c507fffff,28.43869676610436,76.86196321671638,17.82,"POLYGON((76.85685404055266 28.440685347603072, 76.85726570960132 28.43594033253541, 76.86237450469854 28.43395186706497, 76.86707203305222 28.43670805913723, 76.86666106711996 28.441453096182993, 76.86155186970748 28.443441919211416, 76.85685404055266 28.440685347603072))"
883da5649dfffff,28.84240349886194,76.69766948399285,15.65,"POLYGON((76.69252252268956 28.844397202719442, 76.69294863154055 28.839630562693245, 76.69809520637028 28.837636971558933, 76.70281608318784 28.840409663501507, 76.70239068583199 28.845176328057132, 76.6972437001525 28.84717027617394, 76.69252252268956 28.844397202719442))"
883da1c0d9fffff,28.468512276429625,76.78528781660665,15.23,"POLYGON((76.78017324823084 28.4704989677651, 76.78059063880285 28.465752219110367, 76.78570482542183 28.46376564294808, 76.79040202580634 28.466525458608576, 76.78998533888718 28.471272230591854, 76.78487074792024 28.473259163619108, 76.78017324823084 28.4704989677651))"
883da11865fffff,28.392449810222306,77.00407245582943,21.3,"POLYGON((76.9989726113757 28.39444211437377, 76.99937374306491 28.38969986019268, 77.0044732076355 28.387707673610674, 77.00917193916334 28.390457382387325, 77.00877150976989 28.395199656037736, 77.00367164654327 28.397192201475196, 76.9989726113757 28.39444211437377))"
883da1cf31fffff,28.327767528661198,76.81735350138045,18.24,"POLYGON((76.8122510327643 28.329751485243733, 76.81266523011072 28.32501232188409, 76.81776731872631 28.323028481371725, 76.82245561193047 28.325783447456804, 76.82204211530649 28.33052263371469, 76.81693962474567 28.332506831022222, 76.8122510327643 28.329751485243733))"
883da10db1fffff,28.322637636434074,77.40383658536417,16.67,"POLYGON((77.3987586051377 28.324641935861514, 77.39913050433509 28.319904399689612, 77.40420810737501 28.31790022188416, 77.40891420026725 28.320633217684776, 77.408543002208 28.3253707662188, 77.40346501011031 28.327375306623086, 77.3987586051377 28.324641935861514))"
883da564b1fffff,28.821345506089614,76.70451705868837,15.42,"POLYGON((76.69937200485766 28.82333889017472, 76.69979748151599 28.81857336337843, 76.70494214914899 28.816580092174565, 76.70966175055175 28.819351990803014, 76.70923698494714 28.82411754202585, 76.70409190687518 28.826111170226884, 76.69937200485766 28.82333889017472))"
883da1c0b1fffff,28.427346373819457,76.80864962179727,17.73,"POLYGON((76.80353916021635 28.42933276237575, 76.80395460647982 28.42458825249097, 76.8090646868818 28.42260197950412, 76.81375972434938 28.425359859447916, 76.81334498089782 28.430104392283226, 76.80823449715642 28.43209102225722, 76.80353916021635 28.42933276237575))"
883da1868dfffff,28.9181507013346,77.11845224228182,16.19,"POLYGON((77.11331661809365 28.920161549211926, 77.11371262151526 28.915391767858704, 77.1188478603056 28.913381036403482, 77.12358749813532 28.916139724883138, 77.12319220832032 28.920909523042244, 77.11805656705961 28.922920615949096, 77.11331661809365 28.920161549211926))"
883da1d62bfffff,28.619857471020197,76.70264856673046,15.04,"POLYGON((76.69751901225409 28.621845349572336, 76.69794333514669 28.617090422432515, 76.70307250575141 28.615102657618564, 76.7077777614515 28.617869463539133, 76.70735414531191 28.622624415343903, 76.70222456670842 28.624612536596235, 76.69751901225409 28.621845349572336))"
883da18f49fffff,28.727788940621295,76.98059801525976,15.89,"POLYGON((76.9754714196104 28.72978965909597, 76.97587628334033 28.725029556294555, 76.98100249514522 28.7230289537481, 76.98572424642624 28.725788094483644, 76.98532009208778 28.730548216806465, 76.98019347706702 28.73254917890552, 76.9754714196104 28.72978965909597))"
883da188cdfffff,28.667646682642474,76.94608883659218,15.48,"POLYGON((76.94096546734183 28.669644526928483, 76.94137246412784 28.66488752416549, 76.94649545006727 28.66288979573649, 76.951211842457 28.665648711062957, 76.95080555374227 28.67040573403813, 76.9456821645566 28.672403821507785, 76.94096546734183 28.669644526928483))"
883da1ba67fffff,28.808220069072874,77.18708030154359,17.28,"POLYGON((77.1819560182583 28.810230343503655, 77.18234638391746 28.805466470178885, 77.18747028340752 28.803456313297477, 77.1922042168451 28.806209667934695, 77.19181456249304 28.810973556947364, 77.18669026338723 28.812984075668137, 77.1819560182583 28.810230343503655))"
883da1b139fffff,28.870590598032397,77.25146339060319,16.61,"POLYGON((77.24633697276522 28.87260488417942, 77.24672302721143 28.867837898233056, 77.25184906084374 28.86582372998024, 77.2565894389534 28.868576185057844, 77.25620409720308 28.873343185450228, 77.25107766463834 28.87535771635226, 77.24633697276522 28.87260488417942))"
883da1a281fffff,28.89199988994122,77.44330749229056,15.09,"POLYGON((77.43818747361969 28.894021588052556, 77.43855970711995 28.88925397749641, 77.44367934227998 28.887232399008575, 77.44842713883016 28.88997806651015, 77.44805561861008 28.894745688003542, 77.44293558855153 28.89676763109141, 77.43818747361969 28.894021588052556))"
883da10dd7fffff,28.350338237599704,77.3918180769303,15.57,"POLYGON((77.38673747893708 28.352342905390543, 77.38711039981298 28.347603848735083, 77.39219062024682 28.345599302340805, 77.39689830944349 28.348333450072218, 77.39652609028312 28.35307251927137, 77.39144548020245 28.355077428228444, 77.38673747893708 28.352342905390543))"
883da182c3fffff,28.86918551743655,76.94869719953877,16.28,"POLYGON((76.94355837031539 28.87118895420337, 76.9439664152525 28.866421369824256, 76.9491048588444 28.864418048070196, 76.95383566313177 28.867181951116542, 76.95342833057802 28.87194955543989, 76.94828948134354 28.87395323680589, 76.94355837031539 28.87118895420337))"
883da1ab11fffff,28.690747410284555,77.34517578274254,21.1,"POLYGON((77.34006714176988 28.6927600231441, 77.34044535962168 28.688002722957666, 77.34555361891924 28.685990229645245, 77.35028405505277 28.68873467347347, 77.34990654611238 28.69349198662517, 77.34479789211862 28.695504843016565, 77.34006714176988 28.6927600231441))"
883da1c435fffff,28.47773994241366,76.90303071101086,15.63,"POLYGON((76.89792020265374 28.479731047308555, 76.89832914752014 28.474984030439, 76.9034392745514 28.472993041798, 76.90814085859702 28.47574871197815, 76.90773261772054 28.48049575004382, 76.90262208879852 28.482487096766246, 76.89792020265374 28.479731047308555))"
883da1b8bbfffff,28.776419724815238,77.33836540970272,18.31,"POLYGON((77.33324988890097 28.778434485477277, 77.33362908962036 28.77367265513077, 77.33874422772772 28.771658013589455, 77.3434805609748 28.774404839177663, 77.34310207099368 28.779166682507928, 77.33798653701875 28.781181687299444, 77.33324988890097 28.778434485477277))"
883da1aae3fffff,28.731177368578763,77.40632860400729,20.73,"POLYGON((77.40121941824447 28.733193268943143, 77.40159343190537 28.728433998243098, 77.40670223582838 28.726418217833714, 77.41143741989688 28.729161344365234, 77.41106411604818 28.733920626873953, 77.40595491831056 28.735936771075686, 77.40121941824447 28.733193268943143))"
883da10483fffff,28.540448591307182,77.44595690066103,17.71,"POLYGON((77.44086402576761 28.542460524717754, 77.44123410057783 28.53771145861424, 77.44632659601228 28.53569964632831, 77.4510494073095 28.538436536538704, 77.45068003826913 28.543185613973428, 77.44558715215372 28.54519778989965, 77.44086402576761 28.542460524717754))"
883da1b9e9fffff,28.726955410363672,77.25316388003905,20.5,"POLYGON((77.24804861023755 28.72896578030558, 77.24843370645273 28.724206337993408, 77.25354859371531 28.72219608657452, 77.25827878192646 28.724944915229102, 77.2578943953319 28.72970437212801, 77.25277911089678 28.731714985818787, 77.24804861023755 28.72896578030558))"
883da11325fffff,28.52656963760527,76.97789893462719,15.8,"POLYGON((76.97278772523711 28.528564731137678, 76.97319155922335 28.52381526774553, 76.97830238707337 28.52182029097205, 76.98300978176856 28.524574418653003, 76.9826066528889 28.529323901837632, 76.97749542419774 28.531319237581894, 76.97278772523711 28.528564731137678))"
883da11021fffff,28.53936792924578,77.05094139446004,27.53,"POLYGON((77.04583219319714 28.541365954358135, 77.04623082418145 28.536615966877516, 77.05133964409842 28.534618059163265, 77.05605023241336 28.537369779224512, 77.05565230688113 28.542119785165195, 77.05054308757244 28.54411805261764, 77.04583219319714 28.541365954358135))"
