lat,lng,timestamp,type,severity,is_synthetic,hour,day_of_week,is_night,is_weekend,is_rush_hour,hour_sin,hour_cos,dow_sin,dow_cos,weather_severity,risk_score
28.665632652936775,77.10550079759336,2024-05-04 03:06:00,accident,1,True,3,5,1,1,0,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.11900314862083497,41.67
28.58969380301654,77.26158582999201,2024-08-03 21:04:00,crime,4,True,21,5,0,1,0,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0.572311314206261,98.33
28.462391607368286,77.01053862118238,2024-03-21 09:05:00,roadblock,2,True,9,3,0,0,1,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.3171118385055972,42.5
28.63991428754161,77.34603676067432,2024-03-29 00:20:00,crime,4,True,0,4,1,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.08328385181590633,60.83
28.628907818419602,77.18266928163708,2024-11-17 21:36:00,crime,3,True,21,6,0,1,0,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0.057900385721368054,39.17
28.61226870995234,77.18460789143893,2024-07-25 19:31:00,unsafe,1,True,19,3,0,0,1,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.11293899375909135,25.0
28.62308215760306,77.28846833920569,2024-02-16 21:42:00,roadblock,3,True,21,4,0,0,0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.014981087693232347,22.5
28.485702471426716,77.13966096505308,2024-07-28 14:25:00,unsafe,1,True,14,6,0,1,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.5139861779930385,8.33
28.64677925818734,77.3447669080712,2024-01-10 19:28:00,crime,5,True,19,2,0,0,1,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0.18621495125021523,40.83
28.653273181533503,77.4759976171849,2024-09-17 01:22:00,accident,1,True,1,1,1,0,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.06792376213004828,37.5
28.605775378410524,77.29304038854188,2024-05-10 03:35:00,crime,3,True,3,4,1,0,0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.19390640014145974,35.0
